epoch;0_iou;1_iou;accuracy;loss;lr;recall;val_0_iou;val_1_iou;val_accuracy;val_loss;val_recall
0;0.9950491189956665;0.09295924752950668;0.9950515627861023;0.0031016350258141756;1e-04;0.9950516819953918;0.9955873489379883;0.19309791922569275;0.9955920577049255;0.0024288480635732412;0.9955920577049255
1;0.9959033727645874;0.28167951107025146;0.9959098696708679;0.0021652239374816418;1e-04;0.9959098696708679;0.9960739612579346;0.37193727493286133;0.9960830211639404;0.0021433187648653984;0.9960830211639404
2;0.9961321949958801;0.3562522232532501;0.9961404204368591;0.0019726345781236887;1e-04;0.9961404204368591;0.9963744282722473;0.389468789100647;0.9963827729225159;0.0019070428097620606;0.9963827729225159
3;0.9963051080703735;0.3798283040523529;0.9963135123252869;0.0018796505173668265;1e-04;0.9963135123252869;0.9965303540229797;0.4343797564506531;0.9965395331382751;0.0017766852397471666;0.9965395331382751
4;0.9963974952697754;0.41175025701522827;0.9964067339897156;0.0017363078659400344;1e-04;0.9964065551757812;0.9966437816619873;0.42839309573173523;0.9966522455215454;0.0016789579531177878;0.9966522455215454
5;0.9964646100997925;0.4247625172138214;0.9964739680290222;0.001722204266116023;1e-04;0.9964737892150879;0.9965759515762329;0.39428195357322693;0.9965835213661194;0.0016501680947840214;0.9965835213661194
6;0.9965373873710632;0.4298107922077179;0.9965464472770691;0.0016803130274638534;1e-04;0.9965465068817139;0.9967061877250671;0.4169236421585083;0.9967139363288879;0.001603762386366725;0.9967139363288879
7;0.9965896606445312;0.43329015374183655;0.9965985417366028;0.0016130320727825165;1e-04;0.9965985417366028;0.9967215061187744;0.44979429244995117;0.9967302083969116;0.0015792418271303177;0.9967302083969116
8;0.9965745806694031;0.4391707181930542;0.9965837001800537;0.0016224877908825874;1e-04;0.9965837597846985;0.9967673420906067;0.46754366159439087;0.9967764616012573;0.0015440054703503847;0.9967764616012573
9;0.9965658783912659;0.4339836537837982;0.9965750575065613;0.0016198030207306147;1e-04;0.996574878692627;0.9968237280845642;0.4691627025604248;0.9968326091766357;0.0015551032265648246;0.9968326091766357
10;0.9966264367103577;0.4445258677005768;0.9966354370117188;0.0015854410594329238;1e-04;0.9966354370117188;0.9967763423919678;0.4419228732585907;0.9967845678329468;0.0015518259024247527;0.9967845678329468
11;0.9966548681259155;0.44366568326950073;0.9966637492179871;0.0015685432590544224;1e-04;0.9966637492179871;0.996729850769043;0.42393362522125244;0.9967376589775085;0.0015297816134989262;0.9967376589775085
12;0.9966318011283875;0.4480748176574707;0.9966409802436829;0.0015396896051242948;1e-04;0.9966409802436829;0.9967597723007202;0.43216583132743835;0.9967677593231201;0.0015594816068187356;0.9967677593231201
13;0.996626079082489;0.4439851641654968;0.9966351389884949;0.0015588951064273715;1e-04;0.9966350793838501;0.9968101382255554;0.45418187975883484;0.9968186616897583;0.0014946770388633013;0.9968186616897583
14;0.9966131448745728;0.44738996028900146;0.9966223239898682;0.001564925885759294;1e-04;0.9966223835945129;0.9968166351318359;0.471801221370697;0.996825635433197;0.0015032553346827626;0.996825635433197
15;0.9966509342193604;0.4535057246685028;0.9966602325439453;0.001539923599921167;1e-04;0.9966602325439453;0.9967542886734009;0.4781360924243927;0.9967638850212097;0.0015146220102906227;0.9967638850212097
16;0.9966585636138916;0.448353111743927;0.996667742729187;0.0015294052427634597;1e-04;0.9966676235198975;0.9967672824859619;0.43165087699890137;0.9967752695083618;0.0015184080693870783;0.9967752695083618
17;0.9966310262680054;0.4492741823196411;0.9966400265693665;0.0015379923861473799;1e-04;0.9966402053833008;0.9968436360359192;0.4616677463054657;0.9968520998954773;0.0014987974427640438;0.9968520998954773
18;0.9967076778411865;0.4530174434185028;0.9967166781425476;0.0015006741741672158;1e-05;0.9967166185379028;0.9968174695968628;0.4469397962093353;0.9968256950378418;0.0015008669579401612;0.9968256950378418
19;0.9967630505561829;0.4709436893463135;0.9967724084854126;0.0014728736132383347;1e-05;0.9967723488807678;0.9968389868736267;0.4559462368488312;0.9968473315238953;0.0014904843410477042;0.9968473315238953
20;0.9967033267021179;0.4582769572734833;0.9967126250267029;0.0014902061084285378;1e-05;0.9967125654220581;0.9968501925468445;0.4628005027770996;0.9968586564064026;0.001482887426391244;0.9968586564064026
21;0.996731162071228;0.45751187205314636;0.9967402815818787;0.0014927589800208807;1e-05;0.9967401623725891;0.9968433976173401;0.4580956697463989;0.9968518018722534;0.0014947958989068866;0.9968518018722534
22;0.9967426657676697;0.46489110589027405;0.9967518448829651;0.001496980432420969;1e-05;0.9967518448829651;0.9968339800834656;0.45374441146850586;0.9968423247337341;0.0014940398978069425;0.9968423247337341
23;0.9967194199562073;0.4613778591156006;0.9967284798622131;0.0014928407035768032;1e-05;0.9967284798622131;0.9968085289001465;0.4436275362968445;0.9968165755271912;0.0015005029272288084;0.9968165755271912
24;0.9968195557594299;0.4654965102672577;0.9968283176422119;0.0014633644605055451;1e-05;0.9968284368515015;0.9968695640563965;0.4667424261569977;0.9968782067298889;0.0014786799438297749;0.9968782067298889
25;0.9967405200004578;0.4673488438129425;0.9967499375343323;0.0014643211616203189;1e-05;0.9967498183250427;0.9968657493591309;0.46311715245246887;0.9968741536140442;0.0014779006596654654;0.9968741536140442
26;0.9967348575592041;0.4624382257461548;0.99674391746521;0.0014822487719357014;1e-05;0.99674391746521;0.9968627095222473;0.46056097745895386;0.9968709945678711;0.0014844601973891258;0.9968709945678711
27;0.996681272983551;0.45837539434432983;0.996690571308136;0.0015086730709299445;1e-05;0.9966905117034912;0.9968463778495789;0.45528700947761536;0.9968546628952026;0.0014853619504719973;0.9968546628952026
28;0.9967653155326843;0.46622955799102783;0.996774435043335;0.001462550600990653;1e-05;0.996774435043335;0.9967820048332214;0.43512141704559326;0.9967899322509766;0.0015288847498595715;0.9967899322509766
29;0.9967201352119446;0.4649946689605713;0.9967294931411743;0.0014716122532263398;1e-05;0.9967294335365295;0.9968279600143433;0.4473959505558014;0.9968360662460327;0.0015067809727042913;0.9968360662460327
30;0.9967597126960754;0.4634472727775574;0.9967687726020813;0.001448538969270885;1e-05;0.9967687726020813;0.9968405365943909;0.4529063403606415;0.9968488216400146;0.001501430873759091;0.9968488216400146
31;0.9967783689498901;0.4691240191459656;0.9967877864837646;0.0014419573126360774;1e-05;0.9967876076698303;0.9968482851982117;0.4548317492008209;0.9968566298484802;0.0014943996211513877;0.9968566298484802
32;0.9967661499977112;0.466499388217926;0.9967751502990723;0.0014836087357252836;1e-05;0.9967752695083618;0.996858537197113;0.45845502614974976;0.9968668818473816;0.001487470930442214;0.9968668818473816
33;0.9967729449272156;0.4673703610897064;0.9967822432518005;0.0014454327756538987;1e-05;0.9967820644378662;0.9968799948692322;0.46529707312583923;0.9968883991241455;0.0014783013612031937;0.9968883991241455
34;0.9967325925827026;0.47073301672935486;0.9967421889305115;0.0014784635277464986;1e-05;0.9967421293258667;0.9968565106391907;0.45492619276046753;0.9968647360801697;0.0014961337437853217;0.9968647360801697
35;0.9967836737632751;0.4706333875656128;0.9967928528785706;0.0014642534079030156;1e-05;0.9967928528785706;0.9968774914741516;0.46118196845054626;0.9968857765197754;0.0014844929100945592;0.9968857765197754
36;0.9967441558837891;0.46097442507743835;0.9967532157897949;0.0014896657085046172;1e-05;0.9967532157897949;0.9968536496162415;0.4543304443359375;0.9968617558479309;0.0014847636921331286;0.9968617558479309
37;0.9967160224914551;0.4607483446598053;0.9967252016067505;0.001489137182943523;1e-05;0.9967252016067505;0.9968677759170532;0.4593958258628845;0.996876060962677;0.0014830022118985653;0.996876060962677
38;0.996717095375061;0.46185076236724854;0.9967262744903564;0.0014811549335718155;1e-05;0.9967263340950012;0.996850848197937;0.45484331250190735;0.9968591332435608;0.0014950267504900694;0.9968591332435608
39;0.9967246651649475;0.4604649245738983;0.9967338442802429;0.0014655832201242447;1e-05;0.9967338442802429;0.9968535900115967;0.4554472863674164;0.9968618154525757;0.001490049296990037;0.9968618154525757
40;0.99676513671875;0.4705314636230469;0.9967745542526245;0.0014640169683843851;1e-05;0.9967744946479797;0.9968433380126953;0.4525657594203949;0.9968515634536743;0.0014869270380586386;0.9968515634536743
41;0.9967721700668335;0.4655851125717163;0.9967812895774841;0.0014563928125426173;1e-05;0.9967812299728394;0.9968958497047424;0.4710478186607361;0.9969043731689453;0.0014673398109152913;0.9969043731689453
42;0.9967541098594666;0.4653679430484772;0.996763288974762;0.001452112221159041;1e-05;0.996763288974762;0.9968554377555847;0.45711708068847656;0.996863842010498;0.0014785509556531906;0.996863842010498
43;0.996727466583252;0.46504053473472595;0.9967367053031921;0.0014717699959874153;1e-05;0.9967367649078369;0.9968926310539246;0.46873781085014343;0.9969011545181274;0.0014651231467723846;0.9969011545181274
44;0.9967460632324219;0.4694945812225342;0.9967553615570068;0.0014523491263389587;1e-05;0.9967553615570068;0.996875524520874;0.46503564715385437;0.9968839883804321;0.0014753964496776462;0.9968839883804321
45;0.9967470169067383;0.47027280926704407;0.9967564940452576;0.0014724492793902755;1e-05;0.9967564344406128;0.9968883395195007;0.4675598442554474;0.9968969225883484;0.0014692111872136593;0.9968969225883484
46;0.9967681765556335;0.4677511751651764;0.9967772364616394;0.0014572174986824393;1e-05;0.9967772960662842;0.9968940019607544;0.4714285731315613;0.9969025254249573;0.0014675225829705596;0.9969025254249573
47;0.9968289136886597;0.4740501642227173;0.9968380331993103;0.0014304460491985083;1e-05;0.996837854385376;0.9968439340591431;0.4519723355770111;0.9968522191047668;0.0014900253154337406;0.9968522191047668
48;0.9968243837356567;0.4742621183395386;0.9968335032463074;0.0014152846997603774;1e-05;0.9968333840370178;0.9968859553337097;0.47034475207328796;0.9968945384025574;0.0014762735227122903;0.9968945384025574
49;0.9967161417007446;0.46775195002555847;0.9967254996299744;0.0014893505722284317;1e-05;0.9967254996299744;0.9968489408493042;0.45699939131736755;0.9968573451042175;0.0014861722011119127;0.9968573451042175
