epoch;0_iou;1_iou;accuracy;loss;lr;recall;val_0_iou;val_1_iou;val_accuracy;val_loss;val_recall
0;0.9950921535491943;0.12296250462532043;0.9950956106185913;0.003200795501470566;1e-04;0.9950954914093018;0.9956420063972473;0.18949070572853088;0.9956464171409607;0.0024037458933889866;0.9956464171409607
1;0.9958158731460571;0.26460862159729004;0.9958221912384033;0.0023450544103980064;1e-04;0.9958221912384033;0.9960711002349854;0.33170607686042786;0.9960787296295166;0.002241993322968483;0.9960787296295166
2;0.9960155487060547;0.3239370584487915;0.9960230588912964;0.002198371570557356;1e-04;0.9960231781005859;0.9963812828063965;0.35384994745254517;0.9963883757591248;0.0020517194643616676;0.9963883757591248
3;0.9962288737297058;0.3518502712249756;0.9962365627288818;0.0020696576684713364;1e-04;0.9962366819381714;0.9964129328727722;0.4072798490524292;0.9964216947555542;0.0019269795157015324;0.9964216947555542
4;0.9962983131408691;0.37910640239715576;0.9963067173957825;0.0019819692242890596;1e-04;0.9963067173957825;0.9965770244598389;0.4087650179862976;0.9965851902961731;0.0018664657836779952;0.9965851902961731
5;0.9963425397872925;0.39221906661987305;0.9963511824607849;0.0019151688320562243;1e-04;0.9963511824607849;0.9965924024581909;0.4165072441101074;0.9966006875038147;0.0017837489722296596;0.9966006875038147
6;0.9964432120323181;0.40663063526153564;0.9964517951011658;0.0018744351109489799;1e-04;0.9964518547058105;0.9966542720794678;0.452145516872406;0.9966634511947632;0.001792278722859919;0.9966634511947632
7;0.9964843392372131;0.40787267684936523;0.9964928030967712;0.0018096395069733262;1e-04;0.9964928030967712;0.9965936541557312;0.4464808702468872;0.9966030120849609;0.0017422003438696265;0.9966030120849609
8;0.9964824318885803;0.42001232504844666;0.9964913129806519;0.0017892819596454501;1e-04;0.9964913129806519;0.9966243505477905;0.45282578468322754;0.996633768081665;0.001719538471661508;0.996633768081665
9;0.9965370893478394;0.4185609519481659;0.9965456128120422;0.0017646420747041702;1e-04;0.996545672416687;0.9966585636138916;0.44956743717193604;0.9966676831245422;0.0017194614047184587;0.9966676831245422
