epoch;0_iou;1_iou;accuracy;loss;lr;recall;val_0_iou;val_1_iou;val_accuracy;val_loss;val_recall
0;0.9948517680168152;0.0;0.9948517084121704;0.005486172623932362;1e-04;0.9948517680168152;0.9949482083320618;0.0;0.9949482083320618;0.004576783161610365;0.9949482083320618
1;0.9948936700820923;0.0;0.9948936104774475;0.004472068976610899;1e-04;0.9948936104774475;0.9949482083320618;0.0;0.9949482083320618;0.004028788302093744;0.9949482083320618
2;0.9949011206626892;0.030708778649568558;0.9949018955230713;0.0036569912917912006;1e-04;0.9949019551277161;0.9954937696456909;0.1490311175584793;0.9954973459243774;0.002778749680146575;0.9954973459243774
3;0.9957485198974609;0.26119059324264526;0.9957548975944519;0.0025324795860797167;1e-04;0.9957548975944519;0.9962936043739319;0.3561832308769226;0.9963011741638184;0.002158723771572113;0.9963011741638184
4;0.9961762428283691;0.36040565371513367;0.9961844682693481;0.0020538901444524527;1e-04;0.9961844682693481;0.996563732624054;0.42360907793045044;0.9965724349021912;0.0018830241169780493;0.9965724349021912
5;0.9962912201881409;0.392712265253067;0.9963000416755676;0.0018357932567596436;1e-04;0.9963001012802124;0.9965870976448059;0.43152639269828796;0.9965958595275879;0.0017700812313705683;0.9965958595275879
6;0.9964596033096313;0.4188411831855774;0.9964686036109924;0.0017086088191717863;1e-04;0.9964686036109924;0.9966522455215454;0.45738524198532104;0.9966617822647095;0.0016811710083857179;0.9966617822647095
7;0.9965835809707642;0.4364902079105377;0.9965924620628357;0.0015966022619977593;1e-04;0.9965925812721252;0.9966849684715271;0.4631749093532562;0.9966943860054016;0.0016354355029761791;0.9966943860054016
8;0.9965283870697021;0.43639302253723145;0.9965379238128662;0.001593498745933175;1e-04;0.9965378046035767;0.9967125058174133;0.4609343409538269;0.9967217445373535;0.00158890790771693;0.9967217445373535
9;0.9966107606887817;0.44247907400131226;0.9966198205947876;0.0015603173524141312;1e-04;0.9966198205947876;0.9968159794807434;0.4666357934474945;0.9968248009681702;0.0015617278404533863;0.9968248009681702
10;0.9966044425964355;0.4460154175758362;0.9966137409210205;0.0015458028065040708;1e-04;0.9966137409210205;0.9967297315597534;0.45763033628463745;0.9967386722564697;0.0015717118512839079;0.9967386722564697
